Country,BattleRoyale,CollectibleCardGame,FPS,FightingGame,MOBA,Music,Puzzle,RPG,Racing,Sports,Strategy,TPS
Brazil,67.22222222222221,101.625,12.0,15.0,52.5,60.46153846153846,94.58333333333333,38.333333333333336,54.4,50.333333333333336,72.72727272727273,0.0
China,70.5,105.0,28.5,0.0,52.46666666666667,69.73913043478261,103.7,39.0,51.2,51.5,66.58333333333333,0.0
Denmark,59.75,102.48484848484848,27.0,0.0,41.55555555555556,54.06666666666666,93.72727272727273,41.25,53.25,36.5,70.92307692307692,6.5
France,71.7,106.95454545454545,31.333333333333332,14.0,54.9,66.21875,93.08333333333333,46.38709677419355,46.875,51.0,73.23529411764706,9.0
Germany,73.0,106.38709677419355,33.5,7.0,53.371428571428574,68.68571428571428,95.83333333333333,47.256410256410255,47.0,52.0,75.2051282051282,6.5
India,37.0,81.45454545454545,31.0,16.0,39.714285714285715,58.714285714285715,63.0,16.333333333333336,23.0,0.0,51.66666666666667,0.0
Indonesia,48.2,86.72727272727272,0.0,14.0,33.625,43.0,82.8,27.0,45.0,38.0,61.30769230769231,0.0
Japan,72.77777777777777,98.04166666666667,32.5,14.833333333333334,58.473118279569896,60.91304347826087,85.4,39.5,53.0,47.0,64.78571428571429,0.0
South Korea,65.44444444444444,100.15,33.333333333333336,11.75,53.1764705882353,69.89473684210526,94.83333333333333,41.714285714285715,54.333333333333336,53.0,62.8,0.0
Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,0.0,59.4,0.0,0.0,51.55555555555556,39.666666666666664,56.0,0.0,28.0,0.0,0.0,0.0
Russian Federation,70.18181818181819,106.775,27.0,0.0,45.36842105263158,66.96000000000001,95.47058823529412,37.4,55.0,39.0,60.611111111111114,5.5
Turkey,57.25,96.85714285714286,0.0,0.0,31.25,50.3125,86.4,33.0,43.14285714285714,22.0,56.769230769230774,0.0
United States,77.21428571428571,112.06,33.125,15.6,59.65868263473054,71.31111111111112,102.6,46.30769230769231,56.166666666666664,53.6,75.06521739130434,12.5
